size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,774700,899400,877000,960000,
200,760600,967400,1431600,1056700,
300,766300,947400,1063000,1063500,
400,766200,979400,1272500,1172900,
500,794900,989900,973300,1141000,
600,1036400,1023900,977700,1060800,
700,783000,925800,997300,1237000,
800,795400,974900,964900,1043600,
900,707700,872700,919100,979800,
1000,810900,966600,972800,1061200,
1100,802200,932200,942900,1059300,
1200,970300,1475300,1942000,1707300,
1300,1008000,1262300,1462000,1393100,
1400,1060600,1304100,1272000,1375200,
1500,1036600,973100,989200,1054600,
1600,787900,960400,984000,1129500,
1700,796500,1013500,981100,1050700,
1800,779200,953100,978400,1112100,
1900,780100,966500,1057900,1052600,
2000,766900,987000,974800,1177100,
2100,848700,1021200,984700,1050000,
2200,780000,964000,980500,1061500,
2300,778100,987200,981600,1185800,
2400,784800,975900,986200,1152900,
2500,1316400,1152400,1025900,1064300,
2600,768900,1022400,1084400,1769600,
2700,1051300,1318700,1189200,1087700,
2800,836800,1128900,1155400,1240700,
2900,804900,1008000,990200,1103200,
3000,814700,1048000,1012700,1130200,
