size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,987900,1117600,1109400,1321100,
200,935900,967500,1013300,1112800,
300,3065600,3898000,4148300,5033000,
400,3733100,4301200,3910900,4313800,
500,770500,961200,963900,1058200,
600,778200,946800,976100,1055200,
700,768000,966200,965000,1042600,
800,766700,967200,1052700,1046700,
900,756900,949400,966000,1054700,
1000,762600,948100,964600,1048500,
1100,758400,947800,998300,983400,
1200,3168100,3745100,3676900,3952700,
1300,692000,868700,898000,981700,
1400,707700,917300,1112000,1413400,
1500,773700,954100,970400,1053800,
1600,755500,938600,903200,1011200,
1700,774100,985200,973600,1045100,
1800,753100,959500,969800,1079400,
1900,751700,893600,935700,1023700,
2000,755500,950300,939900,1060200,
2100,759700,1555200,1357500,1937100,
2200,1463900,2068600,2157100,2291100,
2300,1704300,2170400,1275300,1356900,
2400,1037300,1329800,1697700,1608700,
2500,1101900,1354700,1287800,1142300,
2600,916700,1794000,1978800,1778200,
2700,1421700,1601600,1345200,2020600,
2800,997500,1224000,1265100,1685300,
2900,878600,1000200,967200,1040100,
3000,760700,976000,979400,1218100,
