size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,1257100,1245600,1250300,1113000,
200,1214000,1278200,1322000,1174600,
300,1268400,1125500,1874400,1173200,
400,1198300,1234300,1273000,1026100,
500,1167000,1145500,1160300,1044000,
600,1135100,1189000,1499400,1217100,
700,1512500,1398300,1338600,2124800,
800,2076100,1868400,1787700,1490800,
900,2094900,1753700,1661200,1464200,
1000,1769600,1595200,1511300,1394000,
1100,1475700,1474500,1856700,1788400,
1200,1709900,1737600,1823700,1638100,
1300,1573100,1743400,1354600,1134200,
1400,1210500,1250300,1270400,1109000,
1500,1205600,1255700,1390700,1173500,
1600,1219500,1291300,1259400,1109100,
1700,1198100,1249000,1256000,1136400,
1800,1216700,1279200,1177800,1005500,
1900,1374300,1335100,1413700,1120600,
2000,1237000,1183200,1246000,1141600,
2100,1104200,1174700,1158700,1070900,
2200,1196300,1297900,1376800,966200,
2300,1103000,1149000,1172900,1040100,
2400,1151300,1217900,1175300,1053100,
2500,1115300,1144600,1267500,1088600,
2600,1720700,1673000,1652500,1467100,
2700,1719300,1658100,1658700,1451200,
2800,1598800,1709100,2165900,1932000,
2900,1888100,1764700,1660000,1455200,
3000,1237300,1293100,1309400,1819000,
