size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,1305900,1244700,1250600,1170500,
200,1242500,1274100,1464600,1115400,
300,1349700,1287200,1404300,1149800,
400,1321600,1277100,1368200,1110300,
500,1234200,1279800,1259200,1135600,
600,1276600,1241900,1251700,1273700,
700,1298700,1669900,1448700,1429200,
800,1263800,1311000,1543000,1475200,
900,1450900,1618400,1699400,1375200,
1000,1324600,1336300,1590000,1313800,
1100,1525900,1454900,1309400,1105700,
1200,1563000,1441400,1303100,1117600,
1300,1324700,1285000,1271300,1032000,
1400,1225500,1282000,1259600,1106800,
1500,1474500,1578500,1395100,1111800,
1600,1264200,1726500,1401500,1488500,
1700,1273800,1283800,1416400,1394400,
1800,1330800,1488200,1367800,1210700,
1900,1380900,1428700,1370500,1114100,
2000,2585900,2801000,3151200,2643100,
2100,1339700,1508100,1402700,1183800,
2200,2722900,2711900,2571400,2275500,
2300,2444000,2632800,2922600,2614000,
2400,1328600,1270400,1273500,1185100,
2500,1207700,1262500,1400200,1306800,
2600,1223600,1459900,1408900,1158000,
2700,1308500,1576100,1604100,1452400,
2800,1427200,1513600,1787700,1375800,
2900,1734200,1325700,1295900,1101900,
3000,1212600,1274600,1269600,1119600,
