size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,223400,267300,226800,191900,
200,145600,189000,184500,174200,
300,142000,185700,185100,175300,
400,141800,188700,184400,193900,
500,144400,189300,185100,193900,
600,139600,190000,189900,193900,
700,138700,192100,187000,184300,
800,137600,193800,187800,195000,
900,136100,199500,190000,200300,
1000,136000,200700,197400,198700,
1100,135500,200600,152700,151500,
1200,99600,154500,142600,150700,
1300,99700,150100,144100,148700,
1400,99000,152600,143600,149800,
1500,98200,153400,145900,154100,
1600,97200,154900,146100,152600,
1700,96700,157000,338900,307800,
1800,136500,223900,216600,155400,
1900,96100,162500,153100,157200,
2000,95200,163700,152400,154500,
2100,95300,164900,157700,192600,
2200,97300,165100,153900,160000,
2300,94400,167200,153100,160300,
2400,93100,170100,155900,158100,
2500,92200,168200,156100,161200,
2600,93700,176900,155700,159900,
2700,90100,171600,155600,161200,
2800,98300,238500,212000,191500,
2900,92600,180500,166500,168800,
3000,93300,180600,150600,152300,
