size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,100500,104700,102600,106200,
200,74800,96700,94000,100300,
300,74500,97000,94600,101000,
400,72600,105100,96200,100400,
500,72800,98200,95500,100800,
600,72600,98800,95600,101300,
700,73800,100400,96800,103400,
800,71200,100300,169300,187700,
900,125100,147700,141600,143500,
1000,160500,107800,101500,106000,
1100,69800,104900,100100,113600,
1200,276800,563000,422400,427400,
1300,73800,111900,106400,111900,
1400,67500,105900,100000,112200,
1500,67000,106800,105900,109100,
1600,67300,107400,101000,101300,
1700,66100,109700,102100,110900,
1800,65600,111100,113900,109900,
1900,65100,111000,102800,124100,
2000,66800,115200,105300,112400,
2100,70900,113700,104000,104600,
2200,66900,114000,105800,118700,
2300,63200,118300,106300,135500,
2400,62800,120200,106300,113100,
2500,64200,118100,106600,114200,
2600,62100,127400,108500,115400,
2700,61200,119100,108800,118000,
2800,60700,121000,109300,115700,
2900,60400,120600,110800,179100,
3000,60200,123000,111700,116500,
