size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,149000,135100,128400,121000,
200,126200,129900,150000,132000,
300,139500,139400,125600,107800,
400,135800,130000,122100,109500,
500,116800,129100,120600,98400,
600,114800,131200,121200,111700,
700,118700,134400,124200,109400,
800,117600,135700,125600,109300,
900,111900,132400,121700,109200,
1000,110800,133600,122600,111500,
1100,110300,134700,122800,102100,
1200,109700,135900,124300,114700,
1300,109100,138500,124300,110800,
1400,107000,137900,125300,112300,
1500,106700,139000,125700,112600,
1600,105700,140700,126900,115000,
1700,104600,141400,126800,123800,
1800,103700,144400,127200,108000,
1900,102900,143300,128400,117000,
2000,102400,144800,129400,116600,
2100,101500,146100,129600,118700,
2200,100100,146800,130700,114900,
2300,99500,147900,131300,118200,
2400,98600,149300,132000,121000,
2500,98100,152800,132400,119200,
2600,96700,150800,133500,122700,
2700,95900,151600,133700,119800,
2800,94600,152900,134900,166100,
2900,158800,164500,142800,117900,
3000,95500,159600,145600,123300,
