size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,128800,128000,125000,111700,
200,120600,136600,170400,154500,
300,153800,161300,157700,120800,
400,308300,253900,168000,144600,
500,148600,162200,167400,145900,
600,134700,131800,126800,118100,
700,113100,140000,137800,115200,
800,112200,133700,150600,112200,
900,110200,132700,128000,115600,
1000,109800,134400,128300,110800,
1100,108900,136500,129000,112500,
1200,108000,134800,130900,105400,
1300,107200,135300,129300,113300,
1400,106600,137700,130700,113000,
1500,106700,140200,133100,117000,
1600,106200,143900,132600,113300,
1700,103400,142600,132600,114000,
1800,102600,141400,131500,114600,
1900,103700,142400,132300,113800,
2000,104200,143000,133100,114400,
2100,196500,294300,276200,232000,
2200,98800,145500,134000,109700,
2300,188900,303400,279700,224400,
2400,97600,151400,135000,119600,
2500,96400,153000,136500,120900,
2600,95200,156800,136900,111300,
2700,94000,151300,138000,120700,
2800,112000,157100,138500,121900,
2900,94300,157300,139000,120600,
3000,91900,154400,140200,122000,
