size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,1435100,1620000,1663900,2037900,
200,1498500,1427500,1312700,1396700,
300,1430200,1694800,1506600,1695700,
400,1379400,1497800,1355700,1502600,
500,1174600,1541600,1781400,1890400,
600,1403700,1487900,1649300,1927900,
700,1436700,1741000,1738800,2236700,
800,1687700,1996400,1697600,1465800,
900,1076700,1335300,1371300,1478900,
1000,1077200,1626700,1869300,1833300,
1100,1897800,1409700,1354700,1381500,
1200,51945500,1787100,1793400,2019500,
1300,1490300,1790600,1805800,2019000,
1400,1416700,1849000,1890000,2031400,
1500,1538400,1540800,1793200,2052700,
1600,1407200,1479700,1602800,2042200,
1700,1529000,1825900,1840500,1726000,
1800,1428500,1864300,1911200,2409800,
1900,1358600,1570800,1575600,1718400,
2000,1349600,1668600,1612700,1813800,
2100,1613700,1852600,1933600,2184700,
2200,1599700,2020800,1888200,2162100,
2300,2162000,1927700,1871100,2093200,
2400,1629000,2041800,1868200,2113400,
2500,2116200,1826000,1901500,2084700,
2600,1546000,1847700,1874300,2125000,
2700,1900600,1980600,1845800,2085900,
2800,1503100,1808800,1934200,2096900,
2900,1636600,1985500,2243100,2044900,
3000,1437500,1639100,1663000,1827400,
