size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,1647100,1848800,1766900,2381000,
200,1531300,1836300,1828900,2446400,
300,1355800,2797400,1894900,2182800,
400,1883000,2036600,1928500,2168900,
500,2001200,1990500,1950000,2301300,
600,1621400,2097200,1936300,2362600,
700,1651300,2045100,1921900,2233900,
800,1677700,2184300,2007500,2285300,
900,1712700,2290000,1949900,2217600,
1000,1602900,1847800,2053500,2374600,
1100,1634100,1841700,2000900,2234000,
1200,1627800,1949100,2075600,2456000,
1300,1612500,2035600,2044600,2351700,
1400,1603400,1851300,2066200,2263800,
1500,1873900,1953200,2425200,2314700,
1600,24123500,8981800,8280200,10036300,
1700,1650200,2155000,1864100,2385700,
1800,2632300,2654200,1966200,2076700,
1900,1952300,1945300,1980300,2288400,
2000,2739800,1980700,1917400,2539300,
2100,1618100,1959000,1950900,2564900,
2200,1810800,1649100,1723500,2548200,
2300,1532000,1596300,1588200,1863900,
2400,2030000,2059100,2001000,2372800,
2500,6595900,9217900,7404000,9591800,
2600,1757400,1699700,1939300,2836500,
2700,2088100,3025700,2709200,2787100,
2800,1695200,1992600,2689000,2468800,
2900,2155500,2269400,2001400,2288800,
3000,1637200,5277900,2126200,2627400,
