size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,1395700,1403900,1404700,1447200,
200,1506200,1407900,1400000,1228000,
300,1395200,1403000,1462000,1278800,
400,1479000,1445300,1524400,1336800,
500,1459200,1441300,1440200,1242600,
600,1424800,1454200,1466800,1260900,
700,1417900,1453000,1440600,1284000,
800,1414800,1445200,1438700,1256600,
900,1455000,1493200,1644600,1425000,
1000,1603900,1586200,1581500,1418500,
1100,1467200,1499400,1490800,1299000,
1200,1452800,1525400,1954800,1865700,
1300,1874900,1958200,1986600,1828400,
1400,2046200,2536300,4223800,1914200,
1500,1878700,1942000,1933700,1736500,
1600,1745700,1987200,1678000,1380300,
1700,1540700,1631500,1602600,1431200,
1800,1583000,1611300,2483700,2401000,
1900,2076800,2069600,2693400,1952100,
2000,2753000,2553800,2281500,1992300,
2100,2043800,2092500,2083300,2044200,
2200,2044200,2247500,2309400,1867400,
2300,1840500,2230200,1978300,1964400,
2400,1742500,1731400,2031800,1634200,
2500,1803000,1909500,1836200,2252100,
2600,2116300,2122800,2248300,2026500,
2700,2203400,2201600,2764400,1941100,
2800,2040400,2103300,2231500,1965200,
2900,2165300,2275400,2157000,1662100,
3000,1663200,2017700,1839700,1693100,
