size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,2070600,2069200,2104500,2424900,
200,2639900,2494600,2168900,1859200,
300,2286900,2491700,2654800,2252900,
400,2543100,2535200,2540500,2219700,
500,2665400,2503600,2525200,2256000,
600,2550500,2528700,2553700,2246500,
700,2607100,2502400,2484700,2227100,
800,4845300,4522900,4116500,3873900,
900,2422700,2481300,2462200,2465900,
1000,2407500,2500400,2677800,2283400,
1100,2438300,2752900,2475800,2217900,
1200,2427300,2431300,2515400,2263200,
1300,2467900,2487500,2536000,2320300,
1400,2474000,2538100,2433900,2415900,
1500,2403200,2449800,2533700,2492900,
1600,2395400,2418900,2452100,2246500,
1700,2474900,2514200,2532000,2258200,
1800,2458100,2504400,2509900,2252300,
1900,2451600,2486700,2465400,2296300,
2000,2552800,2484100,2539100,2269300,
2100,2456600,2453100,2660200,2268500,
2200,2409600,2455000,2458400,2265700,
2300,2471000,2590000,2587300,2195000,
2400,2391100,2476700,2611900,2281300,
2500,2539700,2547400,2555300,2253100,
2600,2402600,2593200,2542300,2469600,
2700,4747600,5664800,5779600,4684300,
2800,2674200,2852400,2590300,2627400,
2900,2552300,2660300,2754500,2154400,
3000,2382200,2838200,2655200,2295500,
