size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,135200,140400,130000,137800,
200,101500,130100,128200,163100,
300,101400,133700,129600,137000,
400,100100,132100,129400,138000,
500,98900,134300,130100,139400,
600,98500,134300,131200,138700,
700,98100,136800,155100,163300,
800,97100,136700,131200,141700,
900,98900,138400,133900,140100,
1000,95800,138900,140500,175700,
1100,95300,140600,133900,141700,
1200,94800,142000,135200,136400,
1300,103600,148100,136000,144800,
1400,93700,147300,138200,162000,
1500,94100,147200,139400,146200,
1600,93100,147100,147100,136500,
1700,93000,150900,139700,148000,
1800,91800,155400,141100,146500,
1900,91200,150500,141500,149200,
2000,91000,157000,141800,149600,
2100,89100,153100,196700,197800,
2200,99900,156400,143400,159100,
2300,87700,155800,144800,153000,
2400,87700,157900,165600,153700,
2500,86700,160200,146300,154600,
2600,86300,168300,148400,155300,
2700,86000,162400,148100,155500,
2800,85200,171300,150900,156600,
2900,84500,167000,150300,170900,
3000,126100,238100,208900,228700,
