size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,190200,206300,204700,207200,
200,162200,204200,198400,207900,
300,166100,205100,199700,210500,
400,164400,208100,199500,212300,
500,156300,199100,195500,216900,
600,162200,211100,204000,214500,
700,155600,203700,197500,218500,
800,159600,212400,220500,219800,
900,152700,343100,206200,309300,
1000,152000,259200,209900,227400,
1100,153800,218000,207100,224500,
1200,152100,218200,208200,228500,
1300,154300,220300,208700,232400,
1400,152000,223400,210000,235000,
1500,771000,963100,1871200,1161200,
1600,148500,236200,328200,282300,
1700,463600,981300,876600,964500,
1800,582000,955000,1070600,1192800,
1900,144500,244500,228200,247200,
2000,144500,244000,221000,250000,
2100,553300,995700,889100,965100,
2200,142800,243500,218300,333800,
2300,175300,266700,234300,258200,
2400,146900,262100,231400,259400,
2500,146100,348500,464900,267800,
2600,151200,257900,200400,220200,
2700,143700,262800,233700,265200,
2800,128400,219300,227800,272200,
2900,140200,262300,233300,228300,
3000,108500,215500,192200,201600,
