size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,169500,159200,157500,142200,
200,154100,158600,156500,140100,
300,152200,161100,158500,139500,
400,150800,161100,157500,133500,
500,151200,161500,158600,150700,
600,153600,169600,160600,142300,
700,237700,279900,269900,245100,
800,247600,281200,271400,241100,
900,204400,199400,194200,172900,
1000,174400,200900,193500,173200,
1100,171600,205000,225300,224400,
1200,190600,218200,204500,159500,
1300,144400,172800,162100,144500,
1400,160800,207800,198500,243300,
1500,200400,237200,214200,239200,
1600,123000,156100,148900,127600,
1700,117000,153000,145700,128100,
1800,115200,154200,145900,128500,
1900,115200,154200,145800,128800,
2000,112700,156600,145100,130800,
2100,113100,156200,146800,129500,
2200,112100,158000,146900,131000,
2300,110300,162700,148200,136900,
2400,122400,160000,148900,132600,
2500,108100,161200,149500,132300,
2600,107100,161600,150400,130500,
2700,105800,168100,149800,134900,
2800,104500,163100,150800,134200,
2900,104100,169100,151300,126500,
3000,102900,166400,153300,157000,
