size of pattern,CharByCharAlgorithm,KMP,KMPRefinedFaces,RabinKarp,
100,267800,1233900,256400,225200,
200,244000,264400,273300,218700,
300,243700,284200,274400,220000,
400,242000,275400,258100,219100,
500,246100,282000,269400,228100,
600,242000,276400,264300,230900,
700,236500,279100,259100,231400,
800,236500,284800,259100,224000,
900,233000,285100,266500,234700,
1000,236700,283800,266800,217300,
1100,235500,295200,261300,235200,
1200,231100,296800,266900,237800,
1300,462700,596400,722300,469100,
1400,431900,588200,529100,474800,
1500,216500,290100,261100,225200,
1600,213900,291100,262000,242900,
1700,411700,600800,543300,477700,
1800,212000,303000,274700,249000,
1900,207400,298900,268300,249000,
2000,205900,301000,267900,251100,
2100,397000,617100,547600,495000,
2200,205000,307000,311800,257600,
2300,220300,332400,286900,259800,
2400,211000,331300,286000,297900,
2500,199500,322400,285600,283800,
2600,202500,351000,303100,267700,
2700,198000,323100,339900,268200,
2800,194000,318200,282200,273100,
2900,195500,339700,290500,275100,
3000,195400,330300,289100,292800,
